dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
ALL,0.8079519879969993,0.8315467075038285,0.7880986937590712,0.8092399403874814,0.7852941176470588,0.8291925465838509,0.8066465256797583,256,1333,534,110,146,543
TRAIN,0.8076923076923077,0.8314176245210728,0.7876588021778584,0.8089468779123952,0.7849264705882353,0.829126213592233,0.8064211520302171,205,1066,427,88,117,434
TEST,0.8089887640449438,0.8320610687022901,0.7898550724637681,0.8104089219330854,0.7867647058823529,0.8294573643410853,0.8075471698113208,51,267,107,22,29,109
