threshold,accuracy,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,macro_f1
5.1,0.8154538634658665,0.8262150220913107,0.8142235123367199,0.8201754385964912,0.8042813455657493,0.8167701863354038,0.810477657935285,0.8153265482658881
4.8,0.8154538634658665,0.8159771754636234,0.8301886792452831,0.823021582733813,0.814873417721519,0.7996894409937888,0.8072100313479624,0.8151158070408877
4.9,0.813953488372093,0.8181818181818182,0.8229317851959361,0.8205499276410999,0.809375,0.8043478260869565,0.8068535825545171,0.8137017550978085
5.0,0.8132033008252063,0.8188405797101449,0.8200290275761973,0.8194343727338651,0.807153965785381,0.8059006211180124,0.8065268065268065,0.8129805896303358
4.7,0.8132033008252063,0.8098591549295775,0.8345428156748912,0.8220157255182273,0.8170144462279294,0.7903726708074534,0.8034727703235991,0.8127442479209133
5.2,0.8124531132783196,0.827123695976155,0.8055152394775036,0.8161764705882353,0.797583081570997,0.8198757763975155,0.8085758039816233,0.8123761372849293
4.6,0.8124531132783196,0.806993006993007,0.8374455732946299,0.8219373219373219,0.8187702265372169,0.7857142857142857,0.8019017432646592,0.8119195326009906
5.3,0.8117029257314329,0.8288288288288288,0.8011611030478955,0.814760147601476,0.7946026986506747,0.8229813664596274,0.8085430968726163,0.8116516222370461
4.4,0.8102025506376594,0.800275482093664,0.8432510885341074,0.8212014134275618,0.8220757825370676,0.7748447204968945,0.7977617905675459,0.8094816019975539
4.5,0.8094523630907727,0.8008298755186722,0.8403483309143687,0.8201133144475921,0.819672131147541,0.7763975155279503,0.7974481658692185,0.8087807401584053
5.4,0.808702175543886,0.8297872340425532,0.7924528301886793,0.8106904231625836,0.7881481481481482,0.8260869565217391,0.8066717210007581,0.8086810720816708
5.5,0.808702175543886,0.8297872340425532,0.7924528301886793,0.8106904231625836,0.7881481481481482,0.8260869565217391,0.8066717210007581,0.8086810720816708
5.6,0.808702175543886,0.8297872340425532,0.7924528301886793,0.8106904231625836,0.7881481481481482,0.8260869565217391,0.8066717210007581,0.8086810720816708
5.7,0.8079519879969993,0.8315467075038285,0.7880986937590712,0.8092399403874814,0.7852941176470588,0.8291925465838509,0.8066465256797583,0.8079432330336198
5.8,0.805701425356339,0.8317901234567902,0.7822931785195936,0.806282722513089,0.781021897810219,0.8307453416149069,0.8051166290443943,0.8056996757787416
5.9,0.8049512378094523,0.8356807511737089,0.7750362844702468,0.8042168674698795,0.776657060518732,0.8369565217391305,0.8056801195814649,0.8049484935256722
6.0,0.8042010502625656,0.8364779874213837,0.772133526850508,0.8030188679245283,0.7747489239598279,0.8385093167701864,0.8053691275167785,0.8041939977206534
6.1,0.8042010502625656,0.8386075949367089,0.7692307692307693,0.8024224072672218,0.7731811697574893,0.8416149068322981,0.8059479553903346,0.8041851813287781
4.3,0.8049512378094523,0.7910447761194029,0.8461538461538461,0.8176718092566619,0.8221476510067114,0.7608695652173914,0.7903225806451613,0.8039971949509116
6.7,0.8042010502625656,0.8590604026845637,0.7431059506531205,0.796887159533074,0.7598371777476255,0.8695652173913043,0.8110065170166546,0.8039468382748642
6.3,0.8034508627156789,0.8438003220611916,0.760522496371553,0.8,0.7682584269662921,0.8493788819875776,0.8067846607669616,0.8033923303834809
6.4,0.8034508627156789,0.8460291734197731,0.7576197387518142,0.7993874425727412,0.7667597765363129,0.8524844720496895,0.8073529411764706,0.8033701918746059
6.8,0.8019504876219055,0.8595600676818951,0.737300435413643,0.79375,0.7560646900269542,0.8711180124223602,0.8095238095238095,0.8016369047619047
4.1,0.8027006751687922,0.7847593582887701,0.8519593613933236,0.8169798190675017,0.8256410256410256,0.75,0.7860048820179008,0.8014923505427012
6.2,0.8012003000750187,0.8386581469648562,0.7619738751814223,0.7984790874524715,0.768033946251768,0.843167701863354,0.8038490007401925,0.801164044096332
6.5,0.8012003000750187,0.8464052287581699,0.7518142235123367,0.7963105303612605,0.7628294036061026,0.8540372670807453,0.8058608058608059,0.8010856681110332
6.6,0.8012003000750187,0.8521594684385382,0.7445573294629898,0.7947327652982185,0.759233926128591,0.8618012422360248,0.8072727272727273,0.8010027462854729
4.2,0.8012003000750187,0.7849462365591398,0.8476052249637155,0.8150732728541521,0.8217317487266553,0.7515527950310559,0.7850770478507705,0.8000751603524613
7.0,0.800450112528132,0.8640275387263339,0.7285921625544267,0.7905511811023622,0.7513297872340425,0.8773291925465838,0.8094555873925502,0.8000033842474562
6.9,0.7996999249812453,0.8613013698630136,0.7300435413642961,0.7902592301649647,0.7516688918558078,0.8742236024844721,0.8083273510409189,0.7992932906029417
4.0,0.800450112528132,0.7801324503311259,0.8548621190130624,0.8157894736842105,0.8269896193771626,0.7422360248447205,0.7823240589198036,0.7990567663020071
3.9,0.7996999249812453,0.7783641160949868,0.8563134978229318,0.8154803040774016,0.8278260869565217,0.7391304347826086,0.7809680065627563,0.798224155320079
7.1,0.7974493623405852,0.8643478260869565,0.7213352685050798,0.7863924050632911,0.7467018469656992,0.8788819875776398,0.8074179743223966,0.7969051896928439
7.2,0.7966991747936985,0.8679577464788732,0.7155297532656023,0.7844073190135242,0.7437908496732026,0.8835403726708074,0.8076650106458482,0.7960361648296862
7.4,0.7936984246061516,0.8736462093862816,0.7024673439767779,0.7787610619469026,0.7368421052631579,0.8913043478260869,0.8067463106113844,0.7927536862791436
7.3,0.792198049512378,0.8678571428571429,0.7053701015965167,0.77822257806245,0.7373868046571799,0.8850931677018633,0.8045165843330981,0.7913695811977741
3.8,0.7929482370592649,0.7692307692307693,0.8563134978229318,0.8104395604395604,0.8250883392226148,0.7251552795031055,0.771900826446281,0.7911701934429207
7.6,0.7914478619654913,0.8770642201834863,0.6937590711175616,0.7747163695299838,0.7322335025380711,0.8959627329192547,0.8058659217877095,0.7902911456588466
3.7,0.792198049512378,0.7634271099744245,0.8664731494920174,0.8116927260367097,0.8330308529945554,0.7127329192546584,0.7682008368200837,0.7899467814283967
7.5,0.7899474868717179,0.8724954462659381,0.6952104499274311,0.7738287560581584,0.7321428571428571,0.8913043478260869,0.803921568627451,0.7888751623428047
7.7,0.7884471117779445,0.8775510204081632,0.6865021770682148,0.7703583061889251,0.7279596977329975,0.8975155279503105,0.803894297635605,0.7871263019122651
3.6,0.7891972993248312,0.7582278481012659,0.8693759071117562,0.8100067613252198,0.8342541436464088,0.703416149068323,0.7632687447346251,0.7866377530299224
7.8,0.7876969242310577,0.878731343283582,0.683599419448476,0.7689795918367347,0.726474278544542,0.8990683229813664,0.8036086051353227,0.7862940984860287
7.9,0.7846961740435109,0.8806818181818182,0.6748911465892597,0.7641741988496302,0.7217391304347827,0.9021739130434783,0.8019323671497585,0.7830532829996943
3.5,0.7839459864966242,0.7503121098626716,0.872278664731495,0.8067114093959732,0.8345864661654135,0.6894409937888198,0.7551020408163265,0.7809067251061499
8.0,0.7824456114028507,0.8829174664107485,0.6676342525399129,0.7603305785123967,0.7179802955665024,0.90527950310559,0.8008241758241759,0.7805773771682862
3.4,0.7831957989497375,0.7481389578163772,0.8751814223512336,0.8066889632107024,0.8368121442125237,0.6847826086956522,0.753202391118702,0.7799456771647022
3.3,0.7801950487621906,0.7426470588235294,0.8795355587808418,0.8053156146179402,0.839458413926499,0.6739130434782609,0.7476313522825151,0.7764734834502276
3.1,0.7794448612153039,0.7376654632972323,0.8896952104499274,0.8065789473684211,0.848605577689243,0.6614906832298136,0.743455497382199,0.77501722237531
3.2,0.7786946736684172,0.738498789346247,0.8853410740203193,0.8052805280528053,0.8441814595660749,0.6645962732919255,0.7437011294526499,0.7744908287527276
3.0,0.7741935483870968,0.7293144208037825,0.895500725689405,0.8039087947882736,0.8521560574948666,0.6444099378881988,0.7338638373121131,0.7688863160501933
2.9,0.7711927981995499,0.7253521126760564,0.8969521044992743,0.8020765736534717,0.8523908523908524,0.6366459627329193,0.7288888888888889,0.7654827312711803
