feature,importance
review_length,0.21867504446359193
mixed_opinion_review,0.0722102610041394
menu_count,0.06704038301614647
account_avg_rating,0.06189210046263543
rating,0.05920740774029301
has_menu,0.0451186963183427
account_review_count,0.04229269615841528
detailed_negative_narrative,0.03549788738480682
sentence_count,0.033978660471542396
specific_review,0.029118068330862282
short_but_specific_food_review,0.0290280161168887
has_detailed_negative,0.026522311090377938
experience_context_count,0.021454392350294928
short_generic_review,0.0204854870400898
category_count,0.018816707002078194
generic_count,0.017196722751723955
has_photo,0.01142187148909545
has_experience_context,0.011347272880038258
mixed_opinion_count,0.011292912655580271
waiting_popularity_count,0.01025016042002504
positive_narrative,0.009816362609664784
multi_sentence_review,0.009527175221360014
account_review_count_over_100,0.00784153216950983
has_mixed_opinion,0.007757907843171841
low_information_review,0.0077460466191543505
sensory_detail_count,0.007518388725907314
has_waiting_popularity,0.007477113205315875
account_review_count_under_10,0.007387146449377926
temporal_context_count,0.007322476746440151
account_review_count_over_50,0.00718050145339722
account_review_count_under_5,0.0067952156416014745
enthusiastic_but_detailed,0.006287510654463665
popularity_only_review,0.006025956213327322
strong_generic_praise,0.006007406561052183
has_generic_praise,0.00595810013263553
account_review_count_is_1,0.00563929520253241
quality_detail_count,0.005596559288078109
has_quality_detail,0.00538923425135111
has_sensory_detail,0.005027057989436166
has_temporal_context,0.00489288204267193
has_number_detail,0.004664584542978601
temporal_experience_review,0.004164738973021816
number_detail_count,0.004069483062080649
strong_sensory_detail,0.00299933520790501
generic_without_detail,0.0029211411339312154
strong_quality_detail,0.0011397889126650983
visit_count,0.0
menu_price_listing_only,0.0
first_visit,0.0
revisit,0.0
