dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
ALL,0.812607944732297,0.7475409836065574,0.8786127167630058,0.8077945084145262,0.885036496350365,0.758998435054773,0.8171861836562764,217,1158,485,154,63,456
TRAIN,0.8056155507559395,0.7373737373737373,0.8795180722891566,0.8021978021978022,0.8839907192575406,0.7455968688845401,0.8089171974522293,180,926,381,130,50,365
TEST,0.8405172413793104,0.7913043478260869,0.875,0.8310502283105022,0.8888888888888888,0.8125,0.8489795918367347,37,232,104,24,13,91
