platform,store_name,review_text,tokens,food_score,price_score,service_score,atmosphere_score,general_score,category_total_score,category_total_label,food_label,price_label,service_label,atmosphere_label,general_label,food_matched_words,price_matched_words,service_matched_words,atmosphere_matched_words,general_matched_words
kakao,홍대 조선시대,메뉴가 맛 없는 게 없고 다 맛있습니다. 분위기도 좋고 중간중간 게임도 진행해주셔서 아주 즐겁게 있었어요. 또 올 것 같습니다아,메뉴 맛있다 분위기 좋다 중간 중간 게임 진행 해주다 아주 즐겁다 오다 같다,1,0,0,1,1,3,positive,positive,neutral,neutral,positive,positive,메뉴 맛있다:1[token],,,분위기 좋다:1[token],즐겁다:1[token]
kakao,홍대 조선시대,"친구랑 홍대 조선시대에 다녀왔어요 🍻 분위기도 편하고 가볍게 한잔하기 좋더라고요. 라볶이랑 김치전을 시켜서 먹었는데 둘 다 진짜 맛있었어요 😋 라볶이는 매콤달콤해서 술이랑 잘 어울렸고, 김치전은 바삭하면서 김치 맛이 잘 살아있어서 계속 손이 갔습니다. 친구랑 편하게 술 한잔하면서 맛있는 안주 먹기 좋은 곳이라 다음에 또 올 것 같아요 👍",친구 홍대 조선시대 다녀오다 분위기 편하다 가볍다 한잔 좋다 라볶이 김치전 시키다 먹다 진짜 맛있다 라볶이 매콤 달콤하다 자다 어울리다 김치전 바삭 김치 자다 살다 계속 가다 친구 편하다 한잔 맛있다 안주 먹기 좋다 다음 오다 같다,6,0,0,2,3,11,positive,positive,neutral,neutral,positive,positive,진짜 맛있다:2[token] 먹기 좋다:1[token] 달콤하다:1[token] 바삭:1[token] 맛있다:1[token],,,분위기 편하다:1[token] 편하다:1[token],좋다:1[token] 어울리다:1[token] 편하다:1[token]
kakao,홍대 조선시대,김치전 너무 바삭바삭하고 맛있어요~~ 말차막걸리 너무 맛있습니다 번창하세요~~!!,김치전 너무 바삭바삭하다 맛있다 말차 막걸리 너무 맛있다 번창,4,0,0,0,0,4,positive,positive,neutral,neutral,neutral,neutral,너무 맛있다:2[token] 바삭바삭하다:1[token] 맛있다:1[token],,,,
kakao,홍대 조선시대,안주도 맛있고 분위기도 진짜 좋아요 다시방문할의향 있습니다!,안주 맛있다 분위기 진짜 좋다 다시 방문 의향,1,0,0,0,2,3,positive,positive,neutral,neutral,neutral,positive,안주 맛있다:1[token],,,,진짜 좋다:2[token]
kakao,홍대 조선시대,"리뷰 이벤트 있습니다. 네이버 영수증 리뷰 필수, 카카오맵이나 구글맵 중 하나 리뷰 올리면 감자전 서비스라고 하니 참여해서 꼭 받아가세요. 꾀돌이 맛집입니다. 1, 2차로 이미 배가 부르다, 나는 술만 있으면 된다 하시는 분들께 추천드립니다. 직원 몇몇 분들 덕에 입장부터 기분이 좋지 않았습니다. 후문으로 들어온 손님 보이면 정문 카운터로 가시라고 안내 좀 빠르게 부탁드립니다. 휴대폰 보느라 오는 손님 무시하지 말아주세요.",리뷰 이벤트 네이버 영수증 리뷰 필수 카카오 구글맵 하나 리뷰 올리다 감자전 서비스 하니 참여 받다 돌이 맛집 이다 차로 이미 부르다 추천 드리다 직원 몇몇 입장 기분 좋다 않다 후문 들어오다 손님 보이 정문 카운터 가시 안내 빠르다 부탁드리다 휴대폰 보다 오다 손님 무시 말다,1,0,0,0,3,4,positive,positive,neutral,neutral,neutral,positive,맛집:1[token],,,,추천 드리다:1[token] 기분 좋다:1[token] 빠르다:1[token]
kakao,홍대 조선시대,컨셉이 확실하고 독특해서 신선하고 좋아용! 음식도 맛있도 직원분들도 너무 친절하십니다^^,컨셉 확실하다 독특하다 신선하다 좋다 음식 맛있다 직원 너무 친절하다,2,0,2,0,0,4,positive,positive,neutral,positive,neutral,neutral,신선하다 좋다:1[token] 음식 맛있다:1[token],,직원 너무 친절하다:2[token],,
kakao,홍대 조선시대,여기 진짜 직원분들도 친절하고 안주도 맛있어요 딸기 막걸리 술술 들어갑니다 ^_^ 두부김치랑 딸기 막걸리 추천합니다!!!! 분위기도 너무 좋구 친구들이랑 친목 다지기 너무 좋아요 ㅎ.ㅎ,여기 진짜 직원 친절하다 안주 맛있다 딸기 막걸리 술술 들어가다 두부김치 딸기 막걸리 추천 분위기 너무 좋다 친구 친목 다지다 너무 좋다,1,0,1,2,3,7,positive,positive,neutral,positive,positive,positive,안주 맛있다:1[token],,직원 친절하다:1[token],분위기 너무 좋다:2[token],너무 좋다:2[token] 추천:1[token]
kakao,홍대 조선시대,이번이 두번째 오는거고 제육덮밥 먹었는데 너무 맛있어서 놀랐어요 싹싹 긁어먹었어요!,이번 두번째 오다 제육 덮다 먹다 너무 맛있다 놀라다 싹싹 긁다 먹다,2,0,0,0,0,2,positive,positive,neutral,neutral,neutral,neutral,너무 맛있다:2[token],,,,
kakao,홍대 조선시대,안주가 너무 맛있어요!! 이름이 조선시대인 만큼 인테리어도 완전 조선시대 느낌이 나서 분위기도 좋은 거 같아요! 친구들이랑 마시기 추천합니당😋😋,안주 너무 맛있다 이름 조선시대 만큼 인테리어 완전 조선시대 느낌 나서다 분위기 좋다 같다 친구 마시기 추천,2,0,0,1,1,4,positive,positive,neutral,neutral,positive,positive,너무 맛있다:2[token],,,분위기 좋다:1[token],추천:1[token]
kakao,홍대 조선시대,세번째 방문인데 처음 리뷰 남겨요 분위기도 너무 좋고 안주도 너무 맛있어서 술이 쭉쭉 들어갑니다👍👍,세번 방문 처음 리뷰 남기다 분위기 너무 좋다 안주 너무 맛있다 쭉쭉 들어가다,2,0,0,2,0,4,positive,positive,neutral,neutral,positive,neutral,너무 맛있다:2[token],,,분위기 너무 좋다:2[token],
kakao,홍대 조선시대,"매장도 너무 청결하고 음식 플레이팅이 정말 예뻐요! 주문한 메뉴 다 성공적이었는데, 특히 시카고 탕수육 메뉴는 꼭 드셔보시길 추천합니다. 양도 푸짐하고 재료를 아끼지 않은 게 느껴지네요. 친구들이랑 왔는데 다들 대만족하고 갑니다. 조만간 또 올게요, 사장님 번창하세요!",매장 너무 청결하다 음식 플레이 정말 예쁘다 주문 메뉴 성공 이다 특히 시카고 탕수육 메뉴 들다 보다 추천 양도 푸다 재료 아끼다 않다 느껴지다 친구 오다 들다 만족 가다 조만간 오다 사장 번창,0,1,0,1,3,5,positive,neutral,positive,neutral,positive,positive,,양도 푸다:1[token],,청결하다:1[token],예쁘다:1[token] 추천:1[token] 만족:1[token]
kakao,홍대 조선시대,진짜 음식 개맛있고 소소하게 미니게임 잇어서 ○○○ 재미있습니다 여자친구랑 둘이서 오든 썸녀랑 오십셔 ㅈㄴ 분위기도 잼있어요,진짜 음식 개맛 소소하다 미니게임 잇다 재미있다 여자친구 둘이서 오든 썸녀 오다 분위기 재다,0,0,0,0,1,1,positive,neutral,neutral,neutral,neutral,positive,,,,,재미있다:1[token]
kakao,홍대 조선시대,직원분들도 친절하시고 양도 많고 맛도 좋았어서 다음에도 또 오고싶은 곳이였고 안에 인테리어나 분위기도 엄청 좋았어요! 다들 홍대 조선시대 많이 와주세요,직원 친절하다 양도 많다 좋다 다음 오다 이다 인테리어 분위기 엄청 좋다 들다 홍대 조선시대 많이 오다,0,1,1,0,3,5,positive,neutral,positive,positive,neutral,positive,,양도 많다:1[token],직원 친절하다:1[token],,엄청 좋다:2[token] 좋다:1[token]
kakao,홍대 조선시대,말차막걸리랑 딸기막걸리 먹으러 왔는데 가게 인테리어도 너무 좋고 안주도 너무 맛있어요!,말차 막걸리 딸기 막걸리 먹다 오다 가게 인테리어 너무 좋다 안주 너무 맛있다,2,0,0,0,2,4,positive,positive,neutral,neutral,neutral,positive,너무 맛있다:2[token],,,,너무 좋다:2[token]
kakao,홍대 조선시대,분위기 좋고 매장도 넓고 쾌적해요!! 직원분들 친절하시고 육회도 넘넘 맛있어요~~,분위기 좋다 매장 넓다 쾌적하다 직원 친절하다 육회 넘다 넘다 맛있다,1,0,1,3,0,5,positive,positive,neutral,positive,positive,neutral,맛있다:1[token],,직원 친절하다:1[token],분위기 좋다:1[token] 매장 넓다:1[token] 쾌적하다:1[token],
kakao,홍대 조선시대,무뼈닭발 진짜 맛있어요 ㅋㅋㅋㅋ 다음에 다른 친구랑도 꼭 다시 와야 할거 같아요 ㅎㅎ 추천합니다,무뼈 닭발 진짜 맛있다 다음 다른 친구 다시 오다 같다 추천,2,0,0,0,1,3,positive,positive,neutral,neutral,neutral,positive,진짜 맛있다:2[token],,,,추천:1[token]
