feature,importance
review_length,0.21561511864394745
menu_count,0.09166481897749247
has_menu,0.05474540849636746
mixed_opinion_review,0.0514965939729324
account_review_count,0.04383124530788226
sentence_count,0.03967898399149644
short_but_specific_food_review,0.03422192102081771
account_avg_rating,0.03404613367371526
specific_review,0.027794295250694163
short_generic_review,0.027432923859533
experience_context_count,0.027242919209416256
rating,0.02589548286491224
has_detailed_negative,0.024598257066124923
detailed_negative_narrative,0.023061475693851873
category_count,0.02220913764493687
generic_count,0.02037152005036388
positive_narrative,0.013476213481452594
has_photo,0.011214329039364729
has_experience_context,0.011209531384218574
visit_count,0.01053105824096041
mixed_opinion_count,0.010198719311173438
waiting_popularity_count,0.010125550646554304
multi_sentence_review,0.009578157194448314
temporal_context_count,0.00951336357998318
sensory_detail_count,0.008921164530081993
first_visit,0.008506846484693404
has_mixed_opinion,0.008497462046482305
quality_detail_count,0.00814999742579
has_generic_praise,0.00806732070884743
strong_generic_praise,0.007790037205537195
has_waiting_popularity,0.007668498601866386
account_review_count_over_50,0.007615245994313879
account_review_count_over_100,0.00736432745530555
low_information_review,0.007063531856321669
has_sensory_detail,0.007019991992718779
temporal_experience_review,0.006895528767941384
account_review_count_under_10,0.006797475573463803
number_detail_count,0.006771078626988602
has_temporal_context,0.006106180784845018
enthusiastic_but_detailed,0.00593402321863157
account_review_count_under_5,0.005262006586451048
has_quality_detail,0.0049608264108664795
has_number_detail,0.004249684896995481
generic_without_detail,0.003629339653351893
account_review_count_is_1,0.0036084574053094954
popularity_only_review,0.0027489520764239013
strong_sensory_detail,0.0025334482701412572
strong_quality_detail,0.0020059051893564343
revisit,0.0019781113764937375
menu_price_listing_only,0.00010139825814097956
