dataset,accuracy,precision_real_1,recall_real_1,f1_real_1,precision_fake_0,recall_fake_0,f1_fake_0,wrong_cases,total,tn_fake_correct,fp_fake_to_real,fn_real_to_fake,tp_real_correct
ALL,0.8101164191087916,0.7909738717339667,0.8269867549668874,0.8085795224605423,0.8298045602605864,0.79423226812159,0.8116288331342095,473,2491,1019,264,209,999
TRAIN,0.804718875502008,0.7842364532019704,0.8240165631469979,0.8036345280161534,0.8259979529170931,0.7865497076023392,0.8057913130304544,389,1992,807,219,170,796
TEST,0.8316633266533067,0.8185483870967742,0.8388429752066116,0.8285714285714286,0.8446215139442231,0.8249027237354085,0.8346456692913385,84,499,212,45,39,203
