threshold,accuracy,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,macro_f1
6.4,0.8105178643115215,0.8087248322147651,0.7980132450331126,0.8033333333333333,0.8121632024634334,0.8222915042868277,0.8171959721146398,0.8102646527239865
5.7,0.8101164191087916,0.7909738717339667,0.8269867549668874,0.8085795224605423,0.8298045602605864,0.79423226812159,0.8116288331342095,0.8101041777973759
5.1,0.8101164191087916,0.774869109947644,0.8576158940397351,0.8141453831041258,0.8509532062391681,0.7653936087295401,0.8059089043906442,0.8100271437473849
6.3,0.8101164191087916,0.8054862842892768,0.8021523178807947,0.8038158440481128,0.8144409937888198,0.8176149649259548,0.8160248930377285,0.8099203685429206
6.1,0.8097149739060618,0.799347471451876,0.8112582781456954,0.8052588331963846,0.8197628458498024,0.8082618862042089,0.8139717425431711,0.8096152878697778
4.9,0.8097149739060618,0.7698529411764706,0.8667218543046358,0.8154205607476636,0.8576480990274093,0.7560405300077943,0.8036454018227009,0.8095329812851823
7.0,0.8101164191087916,0.824360105913504,0.7731788079470199,0.7979495941905169,0.7982326951399117,0.8448947778643804,0.8209011737978038,0.8094253839941603
6.7,0.8097149739060618,0.8169257340241797,0.7831125827814569,0.7996618765849535,0.8034508627156789,0.8347622759158223,0.8188073394495413,0.8092346080172474
5.6,0.8089120835006022,0.7863849765258216,0.831953642384106,0.8085277554304103,0.832646331409728,0.7872174590802806,0.8092948717948718,0.8089113136126411
5.0,0.8089120835006022,0.7703101920236337,0.8634105960264901,0.8142076502732241,0.8548812664907651,0.7575993764614185,0.8033057851239669,0.8087567176985955
5.8,0.8085106382978723,0.7912350597609562,0.8220198675496688,0.8063337393422655,0.8260517799352751,0.7957911145752143,0.8106391425168717,0.8084864409295687
5.9,0.8085106382978723,0.7949959644874899,0.8153973509933775,0.8050674295055169,0.8218849840255591,0.8020265003897116,0.8118343195266272,0.8084508745160721
6.0,0.8085106382978723,0.7964314679643146,0.8129139072847682,0.8045882834903728,0.8203497615262321,0.8043647700701481,0.8122786304604487,0.8084334569754108
6.8,0.8089120835006022,0.8177083333333334,0.7798013245033113,0.7983050847457627,0.80134428678118,0.8363211223694466,0.8184591914569032,0.808382138101333
6.9,0.8089120835006022,0.8210526315789474,0.7748344370860927,0.797274275979557,0.7986676535899334,0.8409976617303195,0.8192862566438877,0.8082802663117223
6.2,0.8077077478924127,0.8,0.804635761589404,0.8023111844820471,0.8150470219435737,0.8106001558846454,0.8128175068386089,0.807564345660328
6.5,0.8077077478924127,0.8081149619611158,0.7913907284768212,0.7996654119615224,0.8073394495412844,0.8230709275136399,0.8151292937089927,0.8073973528352576
7.1,0.8081091930951425,0.8247330960854092,0.7673841059602649,0.7950257289879932,0.7944403803950256,0.8464536243180046,0.819622641509434,0.8073241852487136
6.6,0.8077077478924127,0.8118049615055604,0.7855960264900662,0.798485485906605,0.8040847201210287,0.828526890101325,0.8161228406909788,0.8073041632987918
5.2,0.8073063026896828,0.7753403933434191,0.8485099337748344,0.8102766798418972,0.8434559452523525,0.7685113016367888,0.8042414355628059,0.8072590577023515
5.5,0.8069048574869531,0.7828793774319066,0.8327814569536424,0.807059767348576,0.8325041459369817,0.7825409197194076,0.8067496986741663,0.8069047330113712
4.8,0.8069048574869531,0.7635968092820885,0.8716887417218543,0.8140703517587939,0.8606115107913669,0.7459080280592362,0.7991649269311065,0.8066176393449502
5.4,0.8065034122842232,0.7813953488372093,0.8344370860927153,0.8070456365092074,0.8334721065778518,0.7802026500389712,0.8059581320450886,0.806501884277148
7.2,0.8073063026896828,0.8285198555956679,0.7599337748344371,0.7927461139896373,0.7903109182935647,0.8519095869056897,0.8199549887471868,0.806350551368412
5.3,0.8057005218787635,0.7763358778625954,0.8418874172185431,0.8077839555202542,0.838272650296359,0.7716289945440374,0.8035714285714286,0.8056776920458414
4.7,0.8052990766760337,0.7598849748382459,0.875,0.8133897652943439,0.8627272727272727,0.7396726422447389,0.7964750314729333,0.8049323983836386
4.6,0.8040947410678443,0.7571428571428571,0.8774834437086093,0.8128834355828221,0.8643446379468378,0.734996102883866,0.7944397641112048,0.8036615998470134
7.3,0.8044961862705741,0.8286235186873291,0.7524834437086093,0.7887201735357917,0.7855093256814921,0.8534684333593141,0.8180799402316026,0.8034000568836972
7.4,0.8044961862705741,0.832258064516129,0.7475165562913907,0.7876144788486699,0.783072546230441,0.8581449727201871,0.81889178133135,0.8032531300900099
7.6,0.8028904054596547,0.8359887535145267,0.7384105960264901,0.7841758241758242,0.7780898876404494,0.8636009353078722,0.8186183967491688,0.8013971104624965
7.5,0.8020875150541951,0.8325581395348837,0.7408940397350994,0.7840560665790627,0.778954802259887,0.8597038191738113,0.817339755464987,0.8006979110220249
4.4,0.8008831794460056,0.7507042253521127,0.8824503311258278,0.8112633181126332,0.8674136321195145,0.7240841777084958,0.7892948173322005,0.8002790677224169
4.5,0.8004817342432758,0.7512367491166078,0.8799668874172185,0.8105223027068242,0.8652416356877324,0.72564302416212,0.7893175074183977,0.7999199050626109
7.7,0.800080289040546,0.8361742424242424,0.7309602649006622,0.7800353356890459,0.7735191637630662,0.8651597817614964,0.8167770419426048,0.7984061888158254
7.8,0.7996788438378162,0.8366571699905033,0.7293046357615894,0.7793011941618753,0.7726008344923505,0.8659392049883087,0.816611539875046,0.7979563670184606
7.9,0.7980730630268968,0.8373205741626795,0.7243377483443708,0.7767421216156236,0.7697095435684648,0.8674980514419329,0.8156834005130085,0.796212761064316
8.0,0.7972701726214372,0.8402710551790901,0.7185430463576159,0.7746541722445337,0.766803840877915,0.8713951675759938,0.8157606712878511,0.7952074217661924
4.3,0.7956643918105178,0.7425399028452464,0.8857615894039735,0.807852019630049,0.8685714285714285,0.7108339828526891,0.7818259751393056,0.7948389973846773
