model,accuracy,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,tn,fp,fn,tp
Random_Forest,0.8837675350701403,0.8801652892561983,0.8801652892561983,0.8801652892561983,0.8871595330739299,0.8871595330739299,0.8871595330739299,228,29,29,213
Logistic_Regression,0.87374749498998,0.8623481781376519,0.8801652892561983,0.8711656441717791,0.8849206349206349,0.867704280155642,0.8762278978388998,223,34,29,213
Rule_TrustScore_threshold_5.7,0.8196392785571143,0.8089430894308943,0.8223140495867769,0.8155737704918032,0.8300395256916996,0.8171206225680934,0.8235294117647058,210,47,43,199
Rule_TrustScore_threshold_3.5,0.7675350701402806,0.7032258064516129,0.9008264462809917,0.7898550724637681,0.873015873015873,0.642023346303502,0.7399103139013453,165,92,24,218
Dummy_Baseline,0.5150300601202404,0.0,0.0,0.0,0.5150300601202404,1.0,0.6798941798941799,257,0,242,0
